workstream,task,priority,status,percent_complete,last_updated,notes
Workstream E,enforce hard product-management module boundaries in build quality gate,High,Complete,100,2026-02-18,Added `enforceProjectBoundaries` and wired it into `qualityGate`; product modules now fail verification if they reference pm-tools classes or project-management state sources.
Workstream E,enforce managed-tooling registration discipline in build quality gate,High,Complete,100,2026-02-18,Added constitutional managed-tooling rule and `enforceManagedTooling` gate; untracked workflow tooling under `tools/` or `pm-tools/.../tools` now fails quality verification.
Workstream G,stand up realm-local decision logs with granular scope for reasoning context,High,Complete,100,2026-02-20,Added SQL schema and upsert/link commands for decision_log and decision_dependency in realm DBs. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,export cross-realm decision priority queue from SQL impact scoring,High,Complete,100,2026-02-20,Added export command and Gradle decisionPriorityReport task for pm/reports/decision-priority-queue.json. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,wire decision queue into PM refresh/report cycle and artifact manifests,High,Complete,100,2026-02-20,Workflow and manifest wiring in progress to make decision state a first-class execution driver. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,seed initial decisions for active workstreams with smallest-change-biggest-reward scoring,High,Complete,100,2026-02-20,Pending initial population of decision records for renderer and boilerplate promotion actions. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,stand up SQL knowledge base for reasoning outcomes and artifact context,High,Complete,100,2026-02-20,Added project-state knowledge tables and commands for entries/evidence/decision links. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,publish knowledge-base report in PM refresh cycle,High,Complete,100,2026-02-20,Added knowledgeBaseReport task and workflow wiring; now needs broader seeding coverage. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync.
Workstream G,refactor PM console to granular refresh and exchange-format report generation,High,Complete,100,2026-02-20,"Added intent-style report command, screen payload format, DB allowlist auth, and granular refresh options. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync."
Workstream G,stand up dedicated experience/derived reasoning databases and feed default PM cycle,High,Complete,100,2026-02-20,"Added reasoning sync pipeline, dual reasoning DBs, and reasoning-drive report with workflow integration. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync."
Workstream H,migrate folders to canonical policy/management/product structure,High,Complete,100,2026-02-20,Workspace reorganized to canonical realm layout with compatibility handling.
Workstream H,normalize manifests/security config and realm SQL tokens to canonical names,High,Complete,100,2026-02-20,Realm naming and path references updated for policy/management/product semantics.
Workstream H,update gates/tests/report paths and validate full quality gate on migrated structure,High,Complete,100,2026-02-20,"Quality gate validation completed after migration fixes for artifact indexing, tooling guards, tests, and fidelity gate pathing."
