workstream_uid,workstream_label,workstream_priority_rank,workstream,task,priority,status,percent_complete,last_updated,notes
WS-F,Workstream F,6,Workstream F,use trace findings to back-port proven control-code handling into native renderer,High,Complete,100,2026-02-20,"Extended PTX alias normalization and image evidence diagnostics, filtered non-raster BIM payloads, switched to deterministic matching, surfaced token+payload binding evidence (sample shows JPEG candidate payload with zero BIM token overlap), implemented evidence-driven resource-first image selection with dedicated image-resolution policy service, and added confidence-aware embedded-resource matching (token/sequence/size heuristics) with strict per-object fallback behavior. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]"
WS-E,Workstream E,5,Workstream E,stand up SQLite-backed workflow state stores for project and boilerplate automation,High,Complete,100,2026-02-18,Added dedicated project-state and boilerplate-state SQLite databases with Gradle task integration; workflow JSON/reporting outputs now route through pm-tools database tooling. [github:not-committed]
WS-E,Workstream E,5,Workstream E,add governance-breach notification and trust-grant logging to database-backed mechanics,High,Complete,100,2026-02-18,Governance alerts now emit from project-state SQLite and constitutional policy requires human-visible breach reporting plus trust-event logging through governance CSV/DB sync. [github:not-committed]
WS-E,Workstream E,5,Workstream E,add database-backed file-discipline and mirrored VCS ledger reporting,High,Complete,100,2026-02-18,Project-state SQLite now captures Git head/branch/dirty summary and per-path file discipline inventory; build publishes management/pm/reports/version-control-ledger.json for auditable governance workflows. [github:not-committed]
WS-E,Workstream E,5,Workstream E,enforce hard product-management module boundaries in build quality gate,High,Complete,100,2026-02-18,Added `enforceProjectBoundaries` and wired it into `qualityGate`; product modules now fail verification if they reference pm-tools classes or project-management state sources. [github:not-committed]
WS-E,Workstream E,5,Workstream E,enforce managed-tooling registration discipline in build quality gate,High,Complete,100,2026-02-18,Added constitutional managed-tooling rule and `enforceManagedTooling` gate; untracked workflow tooling under `management/tools/` or `management/pm-management/tools/.../tools` now fails quality verification. [github:not-committed]
WS-G,Workstream G,7,Workstream G,stand up realm-local decision logs with granular scope for reasoning context,High,Complete,100,2026-02-20,Added SQL schema and upsert/link commands for decision_log and decision_dependency in realm DBs. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,export cross-realm decision priority queue from SQL impact scoring,High,Complete,100,2026-02-20,Added export command and Gradle decisionPriorityReport task for management/pm/reports/decision-priority-queue.json. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,wire decision queue into PM refresh/report cycle and artifact manifests,High,Complete,100,2026-02-20,Workflow and manifest wiring in progress to make decision state a first-class execution driver. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,seed initial decisions for active workstreams with smallest-change-biggest-reward scoring,High,Complete,100,2026-02-20,Pending initial population of decision records for renderer and boilerplate promotion actions. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,stand up SQL knowledge base for reasoning outcomes and artifact context,High,Complete,100,2026-02-20,Added project-state knowledge tables and commands for entries/evidence/decision links. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,publish knowledge-base report in PM refresh cycle,High,Complete,100,2026-02-20,Added knowledgeBaseReport task and workflow wiring; now needs broader seeding coverage. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]
WS-G,Workstream G,7,Workstream G,refactor PM console to granular refresh and exchange-format report generation,High,Complete,100,2026-02-20,"Added intent-style report command, screen payload format, DB allowlist auth, and granular refresh options. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]"
WS-G,Workstream G,7,Workstream G,stand up dedicated experience/derived reasoning databases and feed default PM cycle,High,Complete,100,2026-02-20,"Added reasoning sync pipeline, dual reasoning DBs, and reasoning-drive report with workflow integration. Closed in single-pass closeout after full qualityGate/documentationManifest validation and cross-realm sync. [github:not-committed]"
WS-H,Workstream H,8,Workstream H,migrate folders to canonical policy/management/product structure,High,Complete,100,2026-02-20,Workspace reorganized to canonical realm layout with compatibility handling. [github:not-committed]
WS-H,Workstream H,8,Workstream H,normalize manifests/security config and realm SQL tokens to canonical names,High,Complete,100,2026-02-20,Realm naming and path references updated for policy/management/product semantics. [github:not-committed]
WS-H,Workstream H,8,Workstream H,update gates/tests/report paths and validate full quality gate on migrated structure,High,Complete,100,2026-02-20,"Quality gate validation completed after migration fixes for artifact indexing, tooling guards, tests, and fidelity gate pathing. [github:not-committed]"
WS-I,Workstream I,9,Workstream I,Stage 1 - Core identity and topology convergence,High,Complete,100,2026-02-23,Completed pzAiCore identity convergence and canonical hierarchy alignment with topology drift report baseline (management/pm/reports/topology-structure-drift.json). [github:not-committed]
WS-I,Workstream I,9,Workstream I,Stage 2 - Tooling governance refactor,High,Complete,100,2026-02-23,Completed managed tool inventory and critical path contract refactor with resolver-backed DB paths and governance tooling artifacts. [github:not-committed]
WS-I,Workstream I,9,Workstream I,Stage 3 - Enforcement and closure validation,High,Complete,100,2026-02-23,Enabled strict topology and hardcoded critical-path gates and validated full qualityGate pass with evidence pack outputs. [github:not-committed]
WS-J,Workstream J,10,Workstream J,Stabilize roll-up gate determinism across staged/unstaged/untracked diff states,High,Complete,100,2026-02-23,Updated `enforceBoilerplateRollupForFrameworkChanges` to union staged+unstaged+untracked paths and de-duplicate before trigger evaluation. [github:committed]
WS-J,Workstream J,10,Workstream J,Define transient-artifact hygiene policy for local/generated files without hiding governed outputs,High,Complete,100,2026-02-23,"Added scoped .gitignore for local IDE/cache artifacts, SQLite WAL/SHM sidecars, .DS_Store, and transient authenticity staging files; governed artifacts remain tracked. [github:committed]"
WS-J,Workstream J,10,Workstream J,Split migration changes into deterministic policy/management/product slices with per-slice gate evidence,High,Complete,100,2026-02-23,"Executed deterministic slice commits (`policy`, `management`, `product`) from generated manifest files and captured closure evidence under `management/pm/reports/workstream-j-slice-evidence.json`. [github:committed]"
WS-J,Workstream J,10,Workstream J,Reconcile project plan/progress/decision artifacts so open actions are reflected in next-step guidance,High,Complete,100,2026-02-23,Added WS-J decision/action records via StateDatabaseTool and confirmed visibility in `action-items.json` and `decision-priority-queue.json` after PM refresh. [github:committed]
WS-J,Workstream J,10,Workstream J,Re-run qualityGate plus PM refresh/report cycle and publish stabilization closure evidence,High,Complete,100,2026-02-23,Ran `qualityGate` and executed PM refresh/report cycles to regenerate governance outputs after slice commits and issue-log synchronization. [github:committed]
